"dataset_id","dataset_name","original_code","original_name","standardized_code","standardized_name"
1,"Varieties of Democracy (V-Dem)","STP","Sao Tome and Principe","STP","São Tomé & Príncipe"
1,"Varieties of Democracy (V-Dem)","SAU","Saudi Arabia","SAU","Saudi Arabia"
1,"Varieties of Democracy (V-Dem)","SRB","Serbia","SRB","Serbia"
1,"Varieties of Democracy (V-Dem)","SYC","Seychelles","SYC","Seychelles"
1,"Varieties of Democracy (V-Dem)","SGP","Singapore","SGP","Singapore"
1,"Varieties of Democracy (V-Dem)","SVK","Slovakia","SVK","Slovakia"
1,"Varieties of Democracy (V-Dem)","SVN","Slovenia","SVN","Slovenia"
1,"Varieties of Democracy (V-Dem)","SLB","Solomon Islands","SLB","Solomon Islands"
1,"Varieties of Democracy (V-Dem)","VUT","Vanuatu","VUT","Vanuatu"
1,"Varieties of Democracy (V-Dem)","ARE","United Arab Emirates","ARE","United Arab Emirates"
1,"Varieties of Democracy (V-Dem)","HUN","Hungary","HUN","Hungary"
1,"Varieties of Democracy (V-Dem)","ZNZ","Zanzibar","ZNZ","Zanzibar"
2,"Statistical Performance Indicators (SPI)","DNK","Denmark","DNK","Denmark"
2,"Statistical Performance Indicators (SPI)","FIN","Finland","FIN","Finland"
2,"Statistical Performance Indicators (SPI)","POL","Poland","POL","Poland"
2,"Statistical Performance Indicators (SPI)","SWE","Sweden","SWE","Sweden"
2,"Statistical Performance Indicators (SPI)","ESP","Spain","ESP","Spain"
2,"Statistical Performance Indicators (SPI)","NLD","Netherlands","NLD","Netherlands"
2,"Statistical Performance Indicators (SPI)","SVN","Slovenia","SVN","Slovenia"
2,"Statistical Performance Indicators (SPI)","PRT","Portugal","PRT","Portugal"
2,"Statistical Performance Indicators (SPI)","ITA","Italy","ITA","Italy"
2,"Statistical Performance Indicators (SPI)","NOR","Norway","NOR","Norway"
2,"Statistical Performance Indicators (SPI)","CAN","Canada","CAN","Canada"
2,"Statistical Performance Indicators (SPI)","USA","United States","USA","United States"
2,"Statistical Performance Indicators (SPI)","FRA","France","FRA","France"
2,"Statistical Performance Indicators (SPI)","EST","Estonia","EST","Estonia"
2,"Statistical Performance Indicators (SPI)","AUT","Austria","AUT","Austria"
2,"Statistical Performance Indicators (SPI)","DEU","Germany","DEU","Germany"
2,"Statistical Performance Indicators (SPI)","HUN","Hungary","HUN","Hungary"
2,"Statistical Performance Indicators (SPI)","MEX","Mexico","MEX","Mexico"
2,"Statistical Performance Indicators (SPI)","LTU","Lithuania","LTU","Lithuania"
2,"Statistical Performance Indicators (SPI)","KOR","Korea, Rep.","KOR","South Korea"
2,"Statistical Performance Indicators (SPI)","LVA","Latvia","LVA","Latvia"
2,"Statistical Performance Indicators (SPI)","NZL","New Zealand","NZL","New Zealand"
2,"Statistical Performance Indicators (SPI)","CZE","Czechia","CZE","Czechia"
2,"Statistical Performance Indicators (SPI)","JPN","Japan","JPN","Japan"
2,"Statistical Performance Indicators (SPI)","AUS","Australia","AUS","Australia"
2,"Statistical Performance Indicators (SPI)","GRC","Greece","GRC","Greece"
2,"Statistical Performance Indicators (SPI)","BEL","Belgium","BEL","Belgium"
2,"Statistical Performance Indicators (SPI)","CHE","Switzerland","CHE","Switzerland"
2,"Statistical Performance Indicators (SPI)","SVK","Slovak Republic","SVK","Slovakia"
2,"Statistical Performance Indicators (SPI)","IRL","Ireland","IRL","Ireland"
2,"Statistical Performance Indicators (SPI)","GEO","Georgia","GEO","Georgia"
2,"Statistical Performance Indicators (SPI)","LUX","Luxembourg","LUX","Luxembourg"
2,"Statistical Performance Indicators (SPI)","GBR","United Kingdom","GBR","United Kingdom"
2,"Statistical Performance Indicators (SPI)","SGP","Singapore","SGP","Singapore"
2,"Statistical Performance Indicators (SPI)","ROU","Romania","ROU","Romania"
2,"Statistical Performance Indicators (SPI)","CRI","Costa Rica","CRI","Costa Rica"
2,"Statistical Performance Indicators (SPI)","BGR","Bulgaria","BGR","Bulgaria"
2,"Statistical Performance Indicators (SPI)","CYP","Cyprus","CYP","Cyprus"
2,"Statistical Performance Indicators (SPI)","ISR","Israel","ISR","Israel"
2,"Statistical Performance Indicators (SPI)","COL","Colombia","COL","Colombia"
2,"Statistical Performance Indicators (SPI)","HRV","Croatia","HRV","Croatia"
2,"Statistical Performance Indicators (SPI)","CHL","Chile","CHL","Chile"
2,"Statistical Performance Indicators (SPI)","TUR","Turkiye","TUR","Turkey"
2,"Statistical Performance Indicators (SPI)","MDA","Moldova","MDA","Moldova"
2,"Statistical Performance Indicators (SPI)","MKD","North Macedonia","MKD","North Macedonia"
2,"Statistical Performance Indicators (SPI)","PHL","Philippines","PHL","Philippines"
2,"Statistical Performance Indicators (SPI)","ALB","Albania","ALB","Albania"
2,"Statistical Performance Indicators (SPI)","ARM","Armenia","ARM","Armenia"
2,"Statistical Performance Indicators (SPI)","MLT","Malta","MLT","Malta"
2,"Statistical Performance Indicators (SPI)","SRB","Serbia","SRB","Serbia"
2,"Statistical Performance Indicators (SPI)","MNG","Mongolia","MNG","Mongolia"
2,"Statistical Performance Indicators (SPI)","RUS","Russian Federation","RUS","Russia"
2,"Statistical Performance Indicators (SPI)","ZAF","South Africa","ZAF","South Africa"
2,"Statistical Performance Indicators (SPI)","ISL","Iceland","ISL","Iceland"
2,"Statistical Performance Indicators (SPI)","SAU","Saudi Arabia","SAU","Saudi Arabia"
2,"Statistical Performance Indicators (SPI)","IDN","Indonesia","IDN","Indonesia"
2,"Statistical Performance Indicators (SPI)","URY","Uruguay","URY","Uruguay"
2,"Statistical Performance Indicators (SPI)","THA","Thailand","THA","Thailand"
2,"Statistical Performance Indicators (SPI)","PSE","West Bank and Gaza","PSE","West Bank and Gaza"
2,"Statistical Performance Indicators (SPI)","BRA","Brazil","BRA","Brazil"
2,"Statistical Performance Indicators (SPI)","MYS","Malaysia","MYS","Malaysia"
2,"Statistical Performance Indicators (SPI)","UZB","Uzbekistan","UZB","Uzbekistan"
2,"Statistical Performance Indicators (SPI)","LKA","Sri Lanka","LKA","Sri Lanka"
2,"Statistical Performance Indicators (SPI)","EGY","Egypt, Arab Rep.","EGY","Egypt"
2,"Statistical Performance Indicators (SPI)","KAZ","Kazakhstan","KAZ","Kazakhstan"
