"dataset_id","dataset_name","original_code","original_name","reason"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"World","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICS","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"BRICSplus members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"East and South Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
